Timestamp,Timestamp_UTC_Epoch,Tag1_Counter,Tag2_Random,Tag3_Sawtooth,Tag4_Sinusoid,Tag5_Square,Tag6_Triangle,Tag7_Constant,Tag8_Counter,Tag9_Random,Tag10_Sawtooth
2025-09-01 15:00:00,1756719000,26,-1.735131,0.0,0.0,-2.0,0.0,1.0,26,-1.735131,0.0
2025-09-01 15:01:00,1756719060,23,-0.7643277,-0.4,-0.4158234,2.0,0.0,1.0,24,-0.394536,0.0
2025-09-01 15:02:00,1756719120,21,0.2093421,-0.4,-0.4158234,-2.0,0.0,1.0,22,0.5791338,0.0
2025-09-01 15:03:00,1756719180,19,-0.8544545,-0.4,0.0,-2.0,0.0,1.0,20,-1.952363,0.0
2025-09-01 15:04:00,1756719240,18,-1.650324,0.0,0.0,-2.0,0.0,1.0,18,-1.650324,0.0
2025-09-01 15:05:00,1756719300,15,-1.046446,0.0,0.0,-2.0,0.0,1.0,16,-0.6766543,0.0
2025-09-01 15:06:00,1756719360,13,-1.835049,-0.4,-0.4158235,-2.0,0.0,1.0,14,1.067043,0.0
2025-09-01 15:07:00,1756719420,11,-0.7696476,0.0,0.0,-2.0,0.0,1.0,12,-1.867556,0.0
2025-09-01 15:14:04,1756719844,1,-1.347325,0.4,-1.902113,-2.0,-1.6,1.0,1,-1.347325,0.4
2025-09-01 15:15:00,1756719900,26,-0.1530379,0.0,0.0,-2.0,0.0,1.0,27,-0.1530379,0.0
2025-09-01 15:16:00,1756719960,24,0.4508401,-0.4,0.0,-2.0,0.0,1.0,25,0.8206319,0.0
2025-09-01 15:17:00,1756720020,23,0.5592002,0.0,0.0,-2.0,0.0,1.0,23,0.5592002,0.0
2025-09-01 15:18:00,1756720080,20,-0.5963277,0.0,0.0,-2.0,0.0,1.0,21,-0.5963277,0.0
2025-09-01 15:19:00,1756720140,18,0.09928172,-0.4,-0.4158234,-2.0,0.0,1.0,19,0.4690734,0.0
2025-09-01 15:20:00,1756720200,17,-1.058539,0.0,0.0,-2.0,0.0,1.0,17,-1.058539,0.0
2025-09-01 15:21:00,1756720260,15,1.785933,0.0,0.0,-2.0,0.0,1.0,15,1.785933,0.0
2025-09-01 15:22:00,1756720320,12,-0.8402851,-0.4,0.0,-2.0,0.0,1.0,13,-0.4704933,0.0
2025-09-01 15:23:00,1756720380,11,-0.8727928,0.0,0.0,-2.0,0.0,1.0,11,-0.8727928,0.0
2025-09-01 15:24:00,1756720440,8,1.198786,0.0,0.0,-2.0,0.0,1.0,9,1.971679,0.0
2025-09-01 15:25:00,1756720500,6,-1.424443,0.0,0.0,-2.0,0.0,1.0,7,-1.054651,0.0
2025-09-01 15:26:00,1756720560,5,-0.2153071,0.0,0.0,-2.0,0.0,1.0,5,-0.2153071,0.0
2025-09-01 15:27:00,1756720620,2,0.4803023,-0.4,-0.4158235,2.0,0.0,1.0,3,1.253196,0.0
2025-09-01 15:28:00,1756720680,0,-1.776001,-0.4,-0.4158235,-2.0,-0.2666667,1.0,0,-1.776001,0.0
2025-09-01 15:29:00,1756720740,30,-0.4325393,0.0,0.0,-2.0,0.0,1.0,30,-0.4325393,0.0
2025-09-01 15:30:00,1756720800,27,0.03701262,-0.4,-0.4158235,-2.0,0.0,1.0,28,0.809906,0.0
2025-09-01 15:31:00,1756720860,25,1.875307,0.0,0.0,-2.0,0.0,1.0,26,1.875307,0.0
2025-09-01 15:32:00,1756720920,24,1.815396,0.0,0.0,-2.0,0.0,1.0,24,1.815396,0.0
2025-09-01 15:33:00,1756720980,21,-0.4409078,0.0,0.0,-2.0,0.0,1.0,22,-0.4409078,0.0
2025-09-01 15:34:00,1756721040,19,0.5327621,0.0,0.0,-2.0,0.0,1.0,20,0.5327621,0.0
2025-09-01 15:35:00,1756721100,17,1.094045,-0.4,0.0,-2.0,0.0,1.0,18,1.463837,0.0
2025-09-01 15:36:00,1756721160,16,-1.562493,0.0,0.0,-2.0,0.0,1.0,16,-1.562493,0.0
2025-09-01 15:37:00,1756721220,13,0.9121873,-0.4,-0.4158235,-2.0,0.0,1.0,14,-0.1857215,0.0
2025-09-01 15:38:00,1756721280,11,1.154873,0.0,0.0,-2.0,0.0,1.0,12,1.154873,0.0
2025-09-01 15:39:00,1756721340,9,1.178852,-0.4,-0.4158234,2.0,-0.2666667,1.0,9,1.178852,-0.4
2025-09-01 15:40:00,1756721400,8,-1.074584,0.0,0.0,-2.0,0.0,1.0,8,-1.074584,0.0
2025-09-01 15:41:00,1756721460,6,-0.1009146,0.0,0.0,-2.0,0.0,1.0,6,-0.1009146,0.0
2025-09-01 15:42:00,1756721520,3,0.5029635,-0.4,0.0,-2.0,0.0,1.0,4,0.8727552,0.0
2025-09-01 15:43:00,1756721580,1,-0.6951593,-0.4,-0.4158235,2.0,-0.2666667,1.0,1,-0.6951593,-0.4
2025-09-01 15:44:00,1756721640,30,-0.3881458,-0.4,-0.4158235,-2.0,0.0,1.0,0,-1.486055,0.0
2025-09-01 15:45:00,1756721700,28,-0.5123848,0.0,0.0,-2.0,0.0,1.0,29,-0.5123848,0.0
2025-09-01 15:46:00,1756721760,26,1.962296,-0.4,-0.4158234,-2.0,-0.2666667,1.0,27,-1.667913,0.0
2025-09-01 15:47:00,1756721820,24,1.929788,0.0,0.0,-2.0,0.0,1.0,25,1.929788,0.0
2025-09-01 15:48:00,1756721880,22,-1.230868,0.0,0.0,-2.0,0.0,1.0,23,-1.230868,0.0
2025-09-01 15:49:00,1756721940,20,1.980529,0.0,0.0,-2.0,0.0,1.0,21,1.980529,0.0
2025-09-01 15:50:00,1756722000,19,1.486498,0.0,0.0,-2.0,0.0,1.0,19,1.486498,0.0
2025-09-01 15:51:00,1756722060,16,-1.448101,0.0,0.0,-2.0,0.0,1.0,17,-1.448101,0.0
2025-09-01 15:52:00,1756722120,14,0.8922537,0.0,0.0,-2.0,0.0,1.0,15,1.262045,0.0
2025-09-01 15:53:00,1756722180,12,1.865923,0.0,0.0,-2.0,0.0,1.0,13,-1.764285,0.0
2025-09-01 15:54:00,1756722240,11,-1.89139,0.0,0.0,-2.0,0.0,1.0,11,-1.89139,0.0
